TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Accuracy,BalancedAccuracy,Precision,Recall,F1,ErrorRate,TSS,HSS,BS,BSS,Fold
22,35,0,0,22,35,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.009168048862311472,0.9613155964238312,1
21,35,0,1,22,35,0.9545454545454546,1.0,0.0,0.045454545454545456,0.9824561403508771,0.9772727272727273,1.0,0.9545454545454546,0.9767441860465117,0.01754385964912286,0.9545454545454546,0.962671905697446,0.011300224343738069,0.9523189235158377,2
20,34,2,1,21,36,0.9523809523809523,0.9444444444444444,0.05555555555555555,0.047619047619047616,0.9473684210526315,0.9484126984126984,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.052631578947368474,0.8968253968253967,0.888015717092338,0.04140577627610606,0.8220537471943536,3
19,36,0,2,21,36,0.9047619047619048,1.0,0.0,0.09523809523809523,0.9649122807017544,0.9523809523809523,1.0,0.9047619047619048,0.9500000000000001,0.03508771929824561,0.9047619047619048,0.9230769230769231,0.033055882209182576,0.8579384109819653,4
20,35,1,1,21,36,0.9523809523809523,0.9722222222222222,0.027777777777777776,0.047619047619047616,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.03508771929824561,0.9246031746031745,0.9246031746031746,0.026884431225317012,0.8844609562816733,5
19,36,0,2,21,36,0.9047619047619048,1.0,0.0,0.09523809523809523,0.9649122807017544,0.9523809523809523,1.0,0.9047619047619048,0.9500000000000001,0.03508771929824561,0.9047619047619048,0.9230769230769231,0.027293165378084374,0.8827043726013278,6
21,36,0,0,21,36,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.005513160210133342,0.9763065376683555,7
21,33,3,0,21,36,1.0,0.9166666666666666,0.08333333333333333,0.0,0.9473684210526315,0.9583333333333333,0.875,1.0,0.9333333333333333,0.052631578947368474,0.9166666666666666,0.8901734104046243,0.03484799954161707,0.8502365733985267,8
20,36,0,1,21,36,0.9523809523809523,1.0,0.0,0.047619047619047616,0.9824561403508771,0.9761904761904762,1.0,0.9523809523809523,0.975609756097561,0.01754385964912286,0.9523809523809523,0.9619238476953907,0.02102230895709724,0.9096541246010463,9
21,35,0,0,21,35,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0024494093171424686,0.9895491869135254,10
20.4,35.1,0.6,0.8,21.2,35.7,0.9621212121212122,0.9833333333333334,0.016666666666666666,0.03787878787878788,0.9754385964912281,0.9727272727272727,0.9736471861471863,0.9621212121212122,0.9668300785997893,0.02456140350877195,0.9454545454545455,0.947354190164682,0.02129404063207297,0.9086538429580442,Average
