TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Accuracy,BalancedAccuracy,Precision,Recall,F1,ErrorRate,TSS,HSS,BS,BSS,Fold,Model
20.2,35.3,0.4,1.0,21.2,35.7,0.9525974025974027,0.9888095238095239,0.01119047619047619,0.047402597402597405,0.9754385964912279,0.9707034632034631,0.9820158102766798,0.9525974025974027,0.9658872066359304,0.02456140350877197,0.9414069264069264,0.9467375234338666,0.020720375267136614,0.9112663192972974,Average,LogisticRegression
20.4,35.1,0.6,0.8,21.2,35.7,0.9621212121212122,0.9833333333333334,0.016666666666666666,0.03787878787878788,0.9754385964912281,0.9727272727272727,0.9736471861471863,0.9621212121212122,0.9668300785997893,0.02456140350877195,0.9454545454545455,0.947354190164682,0.02129404063207297,0.9086538429580442,Average,SVM_RBF
19.8,34.6,1.1,1.4,21.2,35.7,0.9335497835497835,0.9692063492063492,0.030793650793650797,0.06645021645021645,0.956140350877193,0.9513780663780663,0.9500491061413123,0.9335497835497835,0.9396689585398633,0.04385964912280704,0.9027561327561326,0.9052988280478337,0.03286841617933723,0.8591906759660093,Average,RandomForest
20.2,34.9,0.8,1.0,21.2,35.7,0.9523809523809523,0.9775396825396825,0.022460317460317458,0.047619047619047616,0.9683897243107769,0.9649603174603175,0.9647703745529832,0.9523809523809523,0.956741483627454,0.031610275689223075,0.9299206349206349,0.9318703279478948,0.02621159501930067,0.8875816820341799,Average,MLP
